name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit
BM_3x3_Filter2D_OpenCV/1,0,0,BM_3x3_Filter2D_OpenCV/1,iteration,1,0,1,225,3104598.9940563836,3104528.32,ns
BM_3x3_Filter2D_OpenCV/2,1,0,BM_3x3_Filter2D_OpenCV/2,iteration,1,0,1,113,6210382.401415732,6210132.557522125,ns
BM_3x3_Filter2D_OpenCV/4,2,0,BM_3x3_Filter2D_OpenCV/4,iteration,1,0,1,56,12410464.097878763,12410076.821428576,ns
BM_3x3_Filter2D_OpenCV/8,3,0,BM_3x3_Filter2D_OpenCV/8,iteration,1,0,1,28,24830333.82200769,24829768.28571429,ns
BM_3x3_Filter2D_OpenCV/16,4,0,BM_3x3_Filter2D_OpenCV/16,iteration,1,0,1,14,49728607.09364925,49727522.285714276,ns
BM_5x5_Filter2D_OpenCV/1,5,0,BM_5x5_Filter2D_OpenCV/1,iteration,1,0,1,197,3561042.315388089,3560934.375634516,ns
BM_5x5_Filter2D_OpenCV/2,6,0,BM_5x5_Filter2D_OpenCV/2,iteration,1,0,1,98,7124144.450894424,7123983.653061226,ns
BM_5x5_Filter2D_OpenCV/4,7,0,BM_5x5_Filter2D_OpenCV/4,iteration,1,0,1,49,14245884.721072353,14245563.000000002,ns
BM_5x5_Filter2D_OpenCV/8,8,0,BM_5x5_Filter2D_OpenCV/8,iteration,1,0,1,25,28486853.688955307,28486202.439999957,ns
BM_5x5_Filter2D_OpenCV/16,9,0,BM_5x5_Filter2D_OpenCV/16,iteration,1,0,1,12,57014334.63642994,57013059.16666666,ns
BM_7x7_Filter2D_OpenCV/1,10,0,BM_7x7_Filter2D_OpenCV/1,iteration,1,0,1,174,4022520.2496024384,4022379.4655172364,ns
BM_7x7_Filter2D_OpenCV/2,11,0,BM_7x7_Filter2D_OpenCV/2,iteration,1,0,1,87,8053318.030018916,8053141.643678145,ns
BM_7x7_Filter2D_OpenCV/4,12,0,BM_7x7_Filter2D_OpenCV/4,iteration,1,0,1,43,16082895.26992066,16082389.25581397,ns
BM_7x7_Filter2D_OpenCV/8,13,0,BM_7x7_Filter2D_OpenCV/8,iteration,1,0,1,22,32252657.481215216,32251928.59090904,ns
BM_7x7_Filter2D_OpenCV/16,14,0,BM_7x7_Filter2D_OpenCV/16,iteration,1,0,1,11,64360259.60878892,64358279.36363642,ns
BM_9x9_Filter2D_OpenCV/1,15,0,BM_9x9_Filter2D_OpenCV/1,iteration,1,0,1,174,4021806.5460694246,4021715.6954022977,ns
BM_9x9_Filter2D_OpenCV/2,16,0,BM_9x9_Filter2D_OpenCV/2,iteration,1,0,1,87,8042068.231379849,8041893.080459772,ns
BM_9x9_Filter2D_OpenCV/4,17,0,BM_9x9_Filter2D_OpenCV/4,iteration,1,0,1,43,16090339.396235555,16089982.11627903,ns
BM_9x9_Filter2D_OpenCV/8,18,0,BM_9x9_Filter2D_OpenCV/8,iteration,1,0,1,22,32178496.349264275,32177504.909091,ns
BM_9x9_Filter2D_OpenCV/16,19,0,BM_9x9_Filter2D_OpenCV/16,iteration,1,0,1,11,64362284.13473476,64360839.09090907,ns
BM_3x3_Conv2D_Buddy/1,20,0,BM_3x3_Conv2D_Buddy/1,iteration,1,0,1,658,1063467.2298665105,1063443.866261397,ns
BM_3x3_Conv2D_Buddy/2,21,0,BM_3x3_Conv2D_Buddy/2,iteration,1,0,1,329,2129527.063627011,2129451.860182367,ns
BM_3x3_Conv2D_Buddy/4,22,0,BM_3x3_Conv2D_Buddy/4,iteration,1,0,1,164,4260053.108559876,4259856.335365844,ns
BM_3x3_Conv2D_Buddy/8,23,0,BM_3x3_Conv2D_Buddy/8,iteration,1,0,1,82,8509945.35153959,8509757.9268293,ns
BM_3x3_Conv2D_Buddy/16,24,0,BM_3x3_Conv2D_Buddy/16,iteration,1,0,1,41,17024868.145221617,17024499.70731704,ns
BM_5x5_Conv2D_Buddy/1,25,0,BM_5x5_Conv2D_Buddy/1,iteration,1,0,1,260,2685506.018595054,2685444.538461536,ns
BM_5x5_Conv2D_Buddy/2,26,0,BM_5x5_Conv2D_Buddy/2,iteration,1,0,1,130,5368936.49170032,5368818.392307681,ns
BM_5x5_Conv2D_Buddy/4,27,0,BM_5x5_Conv2D_Buddy/4,iteration,1,0,1,65,10755750.938103748,10755431.661538439,ns
BM_5x5_Conv2D_Buddy/8,28,0,BM_5x5_Conv2D_Buddy/8,iteration,1,0,1,33,21500513.2397919,21500028.93939392,ns
BM_5x5_Conv2D_Buddy/16,29,0,BM_5x5_Conv2D_Buddy/16,iteration,1,0,1,16,42951990.50102383,42951044.812499896,ns
BM_7x7_Conv2D_Buddy/1,30,0,BM_7x7_Conv2D_Buddy/1,iteration,1,0,1,143,4898497.378909504,4898341.069930057,ns
BM_7x7_Conv2D_Buddy/2,31,0,BM_7x7_Conv2D_Buddy/2,iteration,1,0,1,72,9793933.843159012,9793638.138888905,ns
BM_7x7_Conv2D_Buddy/4,32,0,BM_7x7_Conv2D_Buddy/4,iteration,1,0,1,36,19600241.651965514,19599802.888888877,ns
BM_7x7_Conv2D_Buddy/8,33,0,BM_7x7_Conv2D_Buddy/8,iteration,1,0,1,18,39117914.624512196,39117021.94444465,ns
BM_7x7_Conv2D_Buddy/16,34,0,BM_7x7_Conv2D_Buddy/16,iteration,1,0,1,9,78374519.53026983,78372790.4444444,ns
BM_9x9_Conv2D_Buddy/1,35,0,BM_9x9_Conv2D_Buddy/1,iteration,1,0,1,85,8239577.62297462,8239313.30588236,ns
BM_9x9_Conv2D_Buddy/2,36,0,BM_9x9_Conv2D_Buddy/2,iteration,1,0,1,42,16475818.252989223,16475229.642857244,ns
BM_9x9_Conv2D_Buddy/4,37,0,BM_9x9_Conv2D_Buddy/4,iteration,1,0,1,21,32949016.562529974,32948262.571428545,ns
BM_9x9_Conv2D_Buddy/8,38,0,BM_9x9_Conv2D_Buddy/8,iteration,1,0,1,11,65882852.47033293,65881368.45454526,ns
BM_9x9_Conv2D_Buddy/16,39,0,BM_9x9_Conv2D_Buddy/16,iteration,1,0,1,5,131883827.22437382,131880878.60000053,ns
BM_3x3_Corr2D_Buddy/1,40,0,BM_3x3_Corr2D_Buddy/1,iteration,1,0,1,463,1513804.0777480886,1513745.1663067038,ns
BM_3x3_Corr2D_Buddy/2,41,0,BM_3x3_Corr2D_Buddy/2,iteration,1,0,1,232,3024023.612318882,3023929.3060344756,ns
BM_3x3_Corr2D_Buddy/4,42,0,BM_3x3_Corr2D_Buddy/4,iteration,1,0,1,116,6047708.480137176,6047575.327586183,ns
BM_3x3_Corr2D_Buddy/8,43,0,BM_3x3_Corr2D_Buddy/8,iteration,1,0,1,58,12079592.505148772,12079327.655172402,ns
BM_3x3_Corr2D_Buddy/16,44,0,BM_3x3_Corr2D_Buddy/16,iteration,1,0,1,29,24183742.766236436,24183007.586207032,ns
BM_5x5_Corr2D_Buddy/1,45,0,BM_5x5_Corr2D_Buddy/1,iteration,1,0,1,178,3924726.7910938584,3924638.7640449177,ns
BM_5x5_Corr2D_Buddy/2,46,0,BM_5x5_Corr2D_Buddy/2,iteration,1,0,1,89,7841471.310579375,7841292.94382017,ns
BM_5x5_Corr2D_Buddy/4,47,0,BM_5x5_Corr2D_Buddy/4,iteration,1,0,1,45,15702759.888437059,15702416.644444384,ns
BM_5x5_Corr2D_Buddy/8,48,0,BM_5x5_Corr2D_Buddy/8,iteration,1,0,1,22,31377980.146895755,31376971.181818128,ns
BM_5x5_Corr2D_Buddy/16,49,0,BM_5x5_Corr2D_Buddy/16,iteration,1,0,1,11,62772825.36029816,62771423.545454234,ns
BM_7x7_Corr2D_Buddy/1,50,0,BM_7x7_Corr2D_Buddy/1,iteration,1,0,1,92,7617800.698980041,7617632.0434782645,ns
BM_7x7_Corr2D_Buddy/2,51,0,BM_7x7_Corr2D_Buddy/2,iteration,1,0,1,46,15281577.311132265,15281088.521739151,ns
BM_7x7_Corr2D_Buddy/4,52,0,BM_7x7_Corr2D_Buddy/4,iteration,1,0,1,23,30563982.851479363,30563028.91304341,ns
BM_7x7_Corr2D_Buddy/8,53,0,BM_7x7_Corr2D_Buddy/8,iteration,1,0,1,11,61483524.5704109,61481594.27272759,ns
BM_7x7_Corr2D_Buddy/16,54,0,BM_7x7_Corr2D_Buddy/16,iteration,1,0,1,6,121837778.63780658,121835109.4999998,ns
BM_9x9_Corr2D_Buddy/1,55,0,BM_9x9_Corr2D_Buddy/1,iteration,1,0,1,56,12495921.159695301,12495645.08928572,ns
BM_9x9_Corr2D_Buddy/2,56,0,BM_9x9_Corr2D_Buddy/2,iteration,1,0,1,28,24973417.765327863,24972848.32142859,ns
BM_9x9_Corr2D_Buddy/4,57,0,BM_9x9_Corr2D_Buddy/4,iteration,1,0,1,14,49929336.51166303,49927820.35714275,ns
BM_9x9_Corr2D_Buddy/8,58,0,BM_9x9_Corr2D_Buddy/8,iteration,1,0,1,7,99947629.23036303,99945476.42857197,ns
BM_9x9_Corr2D_Buddy/16,59,0,BM_9x9_Corr2D_Buddy/16,iteration,1,0,1,4,199957439.67592716,199953103.25000125,ns
